Time (ms),Value,AccX,AccY,AccZ,gX,gY,gZ,Pitch,Roll
6076,0,-0.21,-1.02,-0.09,-2.06,-10.04,-0.89,-76.78,2.44
6094,0,-0.15,-0.97,0.01,-1.42,-9.52,0.06,-76.87,2.67
6113,-2,-0.10,-0.94,-0.05,-0.98,-9.25,-0.48,-77.13,2.77
6131,-4,-0.08,-0.96,-0.06,-0.75,-9.43,-0.58,-77.39,2.90
6149,-6,-0.08,-1.00,-0.08,-0.80,-9.75,-0.83,-77.64,3.05
6167,-5,-0.03,-1.01,-0.12,-0.34,-9.91,-1.22,-77.80,3.22
6185,-3,-0.06,-0.96,-0.05,-0.57,-9.45,-0.49,-78.04,3.44
6204,-2,-0.16,-0.92,-0.01,-1.56,-9.00,-0.08,-78.26,3.72
6222,2,-0.15,-0.90,0.00,-1.46,-8.85,0.03,-78.74,3.74
6241,5,-0.11,-0.94,-0.09,-1.06,-9.17,-0.86,-79.35,3.78
6259,4,-0.09,-0.99,-0.14,-0.90,-9.69,-1.41,-79.89,3.85
6277,3,-0.02,-1.00,-0.22,-0.17,-9.83,-2.12,-80.24,3.77
6295,6,0.03,-0.94,-0.19,0.33,-9.17,-1.85,-80.42,3.66
6313,9,0.00,-0.89,-0.14,0.00,-8.76,-1.42,-80.67,3.63
6332,13,-0.03,-0.92,-0.18,-0.33,-9.06,-1.73,-80.88,3.64
6349,22,-0.01,-0.96,-0.25,-0.11,-9.42,-2.47,-80.78,3.58
6368,29,0.05,-0.95,-0.26,0.50,-9.32,-2.58,-80.56,3.40
6386,33,0.07,-0.93,-0.24,0.72,-9.10,-2.32,-80.20,3.09
6405,35,0.00,-0.94,-0.15,0.00,-9.16,-1.47,-79.91,2.95
6423,17,-0.03,-0.95,-0.14,-0.28,-9.27,-1.41,-79.68,3.05
6441,-18,-0.06,-0.96,-0.16,-0.54,-9.37,-1.54,-79.40,3.06
6460,-45,-0.12,-0.96,-0.16,-1.13,-9.36,-1.54,-79.06,3.07
6478,-58,-0.17,-0.98,-0.16,-1.70,-9.58,-1.58,-78.52,3.13
6497,-73,-0.20,-0.93,-0.01,-1.99,-9.13,-0.09,-78.11,3.03
6514,-92,-0.27,-0.94,-0.03,-2.61,-9.17,-0.29,-77.62,2.77
6533,-64,-0.14,-0.88,0.00,-1.37,-8.58,0.04,-77.31,2.45
6551,-3,-0.11,-0.90,-0.02,-1.07,-8.81,-0.23,-77.41,2.38
6569,28,-0.03,-1.01,-0.15,-0.33,-9.93,-1.44,-77.61,2.24
6588,32,-0.14,-1.03,-0.14,-1.34,-10.07,-1.34,-77.42,2.40
6606,19,0.01,-1.02,-0.13,0.12,-9.95,-1.32,-77.54,2.52
6625,12,0.02,-1.04,-0.14,0.15,-10.17,-1.34,-77.52,2.44
6643,22,0.09,-0.90,-0.09,0.91,-8.85,-0.90,-77.51,2.12
6661,31,0.14,-0.96,-0.01,1.34,-9.44,-0.13,-77.66,1.83
6679,35,0.09,-0.95,-0.08,0.91,-9.34,-0.79,-77.89,1.43
6697,30,0.11,-0.90,-0.09,1.11,-8.80,-0.92,-78.15,1.07
6716,12,0.12,-0.93,-0.06,1.16,-9.13,-0.55,-78.42,0.73
6733,-6,0.09,-0.95,-0.10,0.84,-9.31,-1.00,-78.74,0.50
6752,-17,0.08,-0.98,-0.11,0.76,-9.58,-1.06,-79.03,0.32
6770,-22,0.02,-1.02,-0.13,0.15,-9.95,-1.32,-79.18,0.23
6789,-18,0.06,-1.00,-0.15,0.56,-9.81,-1.45,-79.43,0.13
6807,-9,0.05,-1.03,-0.19,0.46,-10.09,-1.83,-79.56,0.08
6824,2,0.02,-0.96,-0.15,0.18,-9.45,-1.43,-79.72,0.05
6843,12,0.04,-0.95,-0.17,0.35,-9.27,-1.63,-79.86,0.08
6861,17,0.02,-0.92,-0.16,0.23,-8.97,-1.54,-79.93,0.04
6880,12,0.00,-0.92,-0.14,0.01,-8.98,-1.36,-80.05,-0.09
6897,1,0.00,-0.93,-0.17,0.02,-9.08,-1.67,-80.16,-0.28
6916,-8,0.05,-0.95,-0.22,0.47,-9.35,-2.17,-80.12,-0.53
6934,-13,0.08,-0.96,-0.23,0.78,-9.42,-2.24,-79.93,-0.62
6952,-12,0.09,-0.95,-0.18,0.87,-9.34,-1.75,-79.71,-0.61
6971,-5,0.08,-0.95,-0.14,0.82,-9.34,-1.38,-79.51,-0.73
6989,0,0.05,-0.94,-0.11,0.48,-9.20,-1.10,-79.44,-0.96
7007,9,0.03,-0.95,-0.14,0.34,-9.30,-1.33,-79.38,-1.10
7025,16,0.01,-1.02,-0.15,0.13,-10.03,-1.45,-79.30,-1.14
7044,17,0.06,-1.00,-0.15,0.63,-9.79,-1.51,-79.11,-1.23
7062,14,0.10,-0.94,-0.12,0.98,-9.18,-1.19,-78.97,-1.47
7080,7,0.03,-0.92,-0.03,0.25,-9.06,-0.28,-79.06,-1.59
7098,0,-0.11,-0.93,-0.01,-1.06,-9.16,-0.12,-79.21,-1.54
7116,2,-0.02,-0.94,-0.11,-0.16,-9.21,-1.06,-79.31,-1.75
7135,20,0.03,-0.95,-0.19,0.25,-9.31,-1.88,-79.28,-1.91
7153,30,0.07,-1.04,-0.21,0.68,-10.14,-2.03,-79.19,-2.16
7172,35,0.20,-0.92,-0.23,1.97,-8.98,-2.28,-78.81,-2.75
7190,79,0.10,-0.95,-0.18,0.94,-9.33,-1.75,-78.68,-3.12
7208,110,0.09,-0.96,-0.19,0.86,-9.45,-1.89,-78.53,-3.49
7227,24,0.07,-0.98,-0.15,0.73,-9.63,-1.42,-78.39,-3.83
7244,-83,0.04,-0.95,-0.10,0.44,-9.30,-1.02,-78.29,-4.01
7263,-79,0.01,-0.97,-0.12,0.12,-9.49,-1.14,-78.21,-4.04
7281,-32,0.02,-0.94,-0.10,0.18,-9.22,-0.99,-78.20,-4.01
7300,-34,0.05,-0.96,-0.17,0.44,-9.41,-1.69,-78.23,-3.96
7318,-72,0.08,-0.95,-0.12,0.76,-9.30,-1.17,-78.22,-3.99
7336,-118,0.01,-0.92,-0.07,0.13,-9.06,-0.68,-78.33,-3.99
7355,-104,0.00,-0.91,-0.03,0.05,-8.87,-0.30,-78.57,-4.07
7373,-33,0.01,-0.97,-0.11,0.06,-9.50,-1.06,-78.88,-4.05
7392,-7,0.04,-1.00,-0.19,0.40,-9.78,-1.88,-78.99,-3.96
7410,-20,0.08,-1.05,-0.17,0.77,-10.34,-1.66,-78.88,-3.93
7429,-21,0.03,-0.94,-0.10,0.31,-9.24,-1.02,-78.80,-3.88
7447,-32,0.01,-0.92,-0.07,0.06,-9.00,-0.71,-78.93,-3.79
7464,-13,-0.01,-0.95,-0.10,-0.08,-9.29,-1.02,-79.09,-3.74
7483,80,0.02,-0.96,-0.14,0.19,-9.41,-1.36,-79.26,-3.56
7501,101,0.00,-1.00,-0.13,0.02,-9.81,-1.28,-79.39,-3.38
7520,37,0.04,-0.98,-0.12,0.40,-9.61,-1.18,-79.55,-3.12
7538,18,0.09,-0.94,-0.14,0.91,-9.24,-1.33,-79.70,-2.87
7557,28,0.15,-0.94,-0.20,1.45,-9.25,-1.97,-79.71,-2.78
7575,25,0.12,-0.95,-0.21,1.20,-9.28,-2.04,-79.61,-2.80
7592,23,0.06,-0.96,-0.18,0.63,-9.37,-1.73,-79.51,-2.75
7611,24,0.02,-0.95,-0.15,0.23,-9.33,-1.48,-79.42,-2.65
7629,23,0.01,-0.95,-0.14,0.07,-9.32,-1.34,-79.35,-2.56
7648,17,-0.06,-0.98,-0.11,-0.61,-9.58,-1.08,-79.30,-2.45
7666,4,-0.02,-0.95,-0.12,-0.15,-9.32,-1.19,-79.24,-2.25
7685,-10,0.07,-0.96,-0.17,0.69,-9.44,-1.71,-79.11,-2.24
7703,-14,0.03,-0.98,-0.14,0.26,-9.59,-1.37,-78.99,-2.29
7721,-8,0.02,-0.96,-0.14,0.22,-9.37,-1.33,-78.89,-2.23
7739,4,-0.03,-1.00,-0.15,-0.25,-9.83,-1.46,-78.72,-2.15
7757,21,-0.00,-0.94,-0.12,-0.03,-9.18,-1.16,-78.54,-2.08
7776,55,0.03,-0.92,-0.09,0.25,-9.05,-0.92,-78.45,-2.05
7794,69,-0.06,-0.95,-0.06,-0.55,-9.26,-0.56,-78.51,-2.05
7813,22,0.03,-0.95,-0.14,0.31,-9.33,-1.38,-78.59,-2.11
7831,-18,0.01,-1.00,-0.15,0.07,-9.82,-1.46,-78.56,-2.18
7849,-29,0.02,-0.96,-0.11,0.17,-9.40,-1.07,-78.56,-2.22
7868,-68,0.02,-0.94,-0.10,0.19,-9.19,-1.01,-78.56,-2.25
7886,-126,0.05,-0.94,-0.11,0.50,-9.20,-1.07,-78.55,-2.26
7905,-82,-0.01,-0.95,-0.06,-0.13,-9.26,-0.61,-78.72,-2.28
7923,18,0.01,-0.96,-0.11,0.08,-9.44,-1.04,-78.92,-2.30
7942,13,0.01,-1.00,-0.17,0.12,-9.80,-1.69,-79.00,-2.31
7959,-9,0.01,-1.00,-0.18,0.06,-9.77,-1.79,-78.93,-2.29
7977,-16,-0.00,-0.96,-0.15,-0.04,-9.40,-1.44,-78.81,-2.20
7996,-34,-0.02,-0.95,-0.13,-0.17,-9.32,-1.30,-78.68,-2.05
8014,-15,-0.00,-0.96,-0.07,-0.04,-9.37,-0.65,-78.68,-1.95
8034,9,0.00,-0.95,-0.09,0.02,-9.27,-0.89,-78.73,-1.95
8051,39,0.02,-0.97,-0.07,0.17,-9.51,-0.65,-78.87,-2.03
8070,70,0.03,-0.96,-0.11,0.30,-9.43,-1.11,-79.00,-2.16
8088,35,0.02,-0.95,-0.11,0.20,-9.35,-1.04,-79.14,-2.29
8107,-9,0.03,-0.95,-0.11,0.28,-9.34,-1.07,-79.31,-2.39
8125,-6,0.04,-0.96,-0.14,0.43,-9.37,-1.34,-79.44,-2.47
8142,-1,0.03,-0.97,-0.13,0.27,-9.53,-1.23,-79.52,-2.50
8161,-4,0.02,-0.97,-0.13,0.16,-9.51,-1.32,-79.62,-2.51
8179,4,-0.01,-0.97,-0.13,-0.09,-9.53,-1.26,-79.69,-2.50
8198,17,-0.01,-1.00,-0.15,-0.10,-9.79,-1.43,-79.71,-2.45
8216,23,0.01,-0.99,-0.16,0.13,-9.66,-1.55,-79.61,-2.39
8235,15,0.02,-0.95,-0.11,0.16,-9.34,-1.07,-79.54,-2.28
8253,7,0.00,-0.95,-0.11,0.05,-9.28,-1.12,-79.54,-2.17
8270,0,0.01,-0.95,-0.11,0.09,-9.32,-1.07,-79.58,-2.13
8289,-10,0.01,-0.95,-0.13,0.08,-9.35,-1.24,-79.58,-2.13
8307,-14,0.01,-0.96,-0.13,0.11,-9.39,-1.29,-79.59,-2.12
8326,-14,0.03,-0.97,-0.13,0.31,-9.50,-1.23,-79.57,-2.13
8344,-9,0.02,-0.97,-0.14,0.18,-9.46,-1.38,-79.53,-2.11
8363,0,0.02,-0.96,-0.12,0.16,-9.36,-1.17,-79.49,-2.08
8380,5,-0.01,-0.96,-0.11,-0.12,-9.39,-1.10,-79.47,-2.07
8398,8,-0.02,-0.96,-0.11,-0.21,-9.39,-1.05,-79.48,-2.04
8417,8,-0.02,-0.96,-0.11,-0.18,-9.43,-1.08,-79.50,-2.04
8435,4,0.01,-0.97,-0.12,0.13,-9.47,-1.21,-79.51,-2.06
8454,-2,0.03,-0.96,-0.14,0.31,-9.45,-1.42,-79.47,-2.09
8472,-7,0.01,-0.97,-0.13,0.08,-9.46,-1.25,-79.41,-2.08
8491,-9,0.01,-0.94,-0.09,0.09,-9.19,-0.91,-79.42,-2.07
8508,-8,-0.00,-0.96,-0.10,-0.04,-9.37,-0.93,-79.49,-2.05
8526,-3,0.00,-0.96,-0.13,0.01,-9.42,-1.23,-79.53,-2.07
8545,1,0.00,-0.97,-0.16,0.05,-9.54,-1.52,-79.51,-2.09
8563,3,0.00,-0.96,-0.13,0.01,-9.43,-1.31,-79.43,-2.07
8582,3,-0.02,-0.96,-0.10,-0.22,-9.41,-1.00,-79.39,-2.05
8600,1,-0.02,-0.95,-0.10,-0.20,-9.35,-0.95,-79.38,-2.05
8619,0,-0.02,-0.96,-0.10,-0.22,-9.39,-1.02,-79.39,-2.05
8636,0,-0.01,-0.96,-0.11,-0.11,-9.43,-1.10,-79.41,-2.06
8654,-1,-0.01,-0.96,-0.12,-0.06,-9.45,-1.16,-79.42,-2.07
8673,-3,-0.02,-0.98,-0.11,-0.16,-9.57,-1.05,-79.43,-2.08
8691,-2,-0.00,-0.97,-0.11,-0.02,-9.49,-1.12,-79.42,-2.13
8710,0,-0.00,-0.96,-0.10,-0.01,-9.39,-1.03,-79.43,-2.16
8728,1,-0.02,-0.97,-0.09,-0.21,-9.47,-0.84,-79.48,-2.15
8747,3,-0.04,-0.97,-0.09,-0.37,-9.49,-0.91,-79.55,-2.11
8765,3,-0.04,-0.97,-0.10,-0.40,-9.53,-1.00,-79.60,-2.06
8783,2,-0.02,-0.98,-0.11,-0.22,-9.59,-1.08,-79.65,-2.04
8802,1,-0.02,-0.97,-0.12,-0.19,-9.49,-1.17,-79.66,-2.06
8820,0,-0.04,-0.97,-0.12,-0.39,-9.53,-1.15,-79.66,-2.03
8839,-1,-0.05,-0.97,-0.10,-0.51,-9.51,-1.00,-79.65,-1.95
8857,-2,-0.04,-0.97,-0.10,-0.42,-9.54,-1.02,-79.64,-1.85
8876,0,-0.03,-0.96,-0.10,-0.33,-9.44,-0.99,-79.66,-1.73
8894,0,-0.04,-0.98,-0.08,-0.39,-9.57,-0.76,-79.74,-1.64
8912,0,-0.04,-0.97,-0.10,-0.40,-9.54,-0.95,-79.82,-1.55
8930,0,-0.02,-0.99,-0.12,-0.21,-9.74,-1.15,-79.87,-1.49
8948,0,0.00,-0.98,-0.07,0.02,-9.56,-0.68,-80.06,-1.56
8967,0,0.00,-0.96,-0.12,0.03,-9.40,-1.14,-80.25,-1.65
8985,0,-0.00,-0.94,-0.08,-0.00,-9.26,-0.78,-80.48,-1.70
9004,-1,0.00,-0.93,-0.09,0.03,-9.10,-0.92,-80.70,-1.75
9022,-1,0.01,-0.97,-0.12,0.13,-9.51,-1.21,-80.90,-1.79
9039,0,0.01,-0.97,-0.14,0.09,-9.51,-1.36,-81.11,-1.85
9058,0,0.02,-0.99,-0.15,0.20,-9.74,-1.51,-81.27,-1.87
9076,0,0.02,-1.00,-0.14,0.23,-9.77,-1.40,-81.43,-1.89
9095,0,0.03,-1.02,-0.14,0.28,-10.01,-1.39,-81.61,-1.92
9113,0,0.01,-1.03,-0.14,0.14,-10.08,-1.38,-81.82,-1.98
9131,-1,0.02,-1.05,-0.17,0.17,-10.27,-1.63,-82.01,-2.03
9149,0,0.02,-1.08,-0.18,0.19,-10.63,-1.74,-82.22,-2.08
9167,0,0.02,-1.09,-0.21,0.20,-10.66,-2.08,-82.33,-2.12
9186,1,0.01,-1.09,-0.22,0.07,-10.65,-2.12,-82.30,-2.12
9204,1,-0.00,-1.05,-0.13,-0.02,-10.30,-1.31,-82.21,-2.18
9223,0,-0.01,-0.99,-0.07,-0.08,-9.73,-0.73,-82.30,-2.31
9241,1,-0.06,-0.96,-0.03,-0.55,-9.43,-0.27,-82.60,-2.43
9260,0,-0.10,-0.97,-0.06,-1.02,-9.52,-0.57,-83.11,-2.55
9278,-2,-0.12,-1.19,-0.20,-1.18,-11.70,-1.94,-83.66,-2.48
9296,-3,-0.12,-1.28,-0.32,-1.21,-12.56,-3.16,-83.98,-2.38
9315,-2,-0.14,-1.21,-0.33,-1.38,-11.86,-3.20,-83.82,-2.32
9333,0,-0.09,-1.12,-0.27,-0.87,-11.03,-2.68,-83.40,-2.33
9352,1,-0.06,-1.10,-0.25,-0.62,-10.76,-2.42,-82.99,-2.34
9370,1,-0.07,-1.05,-0.24,-0.66,-10.26,-2.39,-82.45,-2.29
9389,1,-0.07,-1.00,-0.20,-0.66,-9.80,-2.00,-81.79,-2.08
9407,0,-0.10,-1.04,-0.21,-0.98,-10.16,-2.05,-81.04,-1.64
9425,0,-0.09,-1.09,-0.24,-0.88,-10.71,-2.34,-80.18,-1.12
9444,-1,0.02,-1.01,-0.31,0.24,-9.94,-3.06,-78.92,-0.86
9462,0,0.04,-0.79,-0.15,0.43,-7.75,-1.44,-77.26,-0.76
9480,0,0.03,-0.63,0.07,0.34,-6.17,0.69,-75.77,-0.96
9498,0,0.07,-0.53,0.19,0.66,-5.20,1.87,-74.54,-1.41
9516,2,0.06,-0.55,0.18,0.59,-5.40,1.80,-74.03,-1.65
9534,1,0.05,-0.71,0.04,0.49,-6.96,0.42,-74.31,-1.73
9552,0,0.06,-0.75,-0.07,0.56,-7.32,-0.68,-74.55,-1.93
9570,0,0.11,-0.69,-0.05,1.12,-6.77,-0.51,-74.63,-2.31
9588,1,0.12,-0.66,-0.05,1.13,-6.46,-0.46,-74.96,-2.65
9607,0,0.08,-0.73,-0.15,0.80,-7.17,-1.45,-75.47,-2.72
9624,0,0.08,-0.81,-0.20,0.78,-7.90,-1.97,-75.79,-2.79
9643,0,0.10,-0.76,-0.18,0.94,-7.49,-1.72,-76.00,-2.90
9661,0,0.13,-0.78,-0.16,1.27,-7.67,-1.57,-76.20,-2.97
9679,-3,0.13,-0.77,-0.15,1.31,-7.52,-1.46,-76.35,-3.03
9698,-3,0.12,-0.74,-0.11,1.18,-7.28,-1.09,-76.60,-2.92
9715,-2,0.11,-0.74,-0.08,1.12,-7.28,-0.83,-76.90,-2.74
9734,0,0.07,-0.78,-0.09,0.69,-7.61,-0.86,-77.52,-2.39
9752,2,0.06,-0.83,-0.13,0.63,-8.12,-1.25,-78.11,-2.13
9771,2,0.06,-0.83,-0.12,0.56,-8.12,-1.20,-78.71,-1.93
9788,2,0.03,-0.81,-0.10,0.28,-7.97,-0.93,-79.29,-1.69
9806,3,0.00,-0.86,-0.13,0.03,-8.46,-1.26,-79.99,-1.37
9825,0,-0.01,-0.91,-0.16,-0.12,-8.90,-1.60,-80.81,-1.09
9843,0,-0.02,-0.94,-0.21,-0.20,-9.21,-2.02,-81.42,-0.84
9862,-1,-0.04,-0.99,-0.22,-0.38,-9.66,-2.17,-81.98,-0.57
9880,-2,-0.10,-1.03,-0.23,-1.00,-10.07,-2.25,-82.53,-0.28
9899,-2,-0.13,-1.04,-0.25,-1.23,-10.19,-2.43,-82.97,-0.05
9917,0,-0.14,-1.03,-0.23,-1.34,-10.05,-2.29,-83.13,0.15
9935,0,-0.14,-1.01,-0.20,-1.39,-9.93,-1.94,-83.12,0.36
9954,0,-0.16,-1.05,-0.19,-1.56,-10.30,-1.82,-83.07,0.62
9972,0,-0.22,-1.14,-0.24,-2.16,-11.16,-2.34,-83.46,0.82
9990,0,-0.16,-1.06,-0.31,-1.61,-10.38,-3.05,-84.00,0.79
10008,1,-0.14,-1.08,-0.36,-1.37,-10.57,-3.54,-83.94,0.84
10027,0,-0.14,-1.00,-0.25,-1.40,-9.81,-2.46,-83.81,0.82
10045,-2,-0.12,-1.03,-0.21,-1.22,-10.08,-2.06,-84.00,0.90
10063,-1,-0.13,-1.11,-0.23,-1.23,-10.92,-2.30,-84.53,0.83
10082,3,-0.21,-1.20,-0.46,-2.05,-11.78,-4.54,-84.34,0.97
10100,4,-0.17,-1.23,-0.44,-1.65,-12.02,-4.30,-83.89,1.08
10119,0,-0.18,-1.11,-0.38,-1.72,-10.89,-3.72,-83.10,1.32
10137,-3,-0.13,-1.02,-0.28,-1.24,-9.97,-2.73,-82.33,1.59
10156,-2,-0.11,-0.95,-0.20,-1.11,-9.33,-2.00,-81.59,1.83
10174,0,-0.06,-0.87,-0.16,-0.59,-8.55,-1.56,-81.09,1.93
10192,0,-0.03,-0.83,-0.17,-0.34,-8.12,-1.70,-80.68,2.01
10211,0,-0.08,-0.87,-0.17,-0.79,-8.55,-1.63,-80.46,2.12
10229,0,-0.11,-0.89,-0.17,-1.04,-8.68,-1.70,-80.34,2.18
10248,2,-0.13,-0.90,-0.19,-1.29,-8.86,-1.87,-80.29,2.22
10266,2,-0.12,-0.93,-0.22,-1.20,-9.12,-2.14,-80.26,2.22
10285,0,-0.13,-0.96,-0.23,-1.23,-9.37,-2.28,-80.23,2.21
10303,0,-0.12,-0.95,-0.24,-1.14,-9.32,-2.34,-80.18,2.19
10321,-3,-0.13,-0.96,-0.23,-1.27,-9.38,-2.21,-80.12,2.21
10340,-2,-0.14,-0.97,-0.25,-1.32,-9.47,-2.43,-80.06,2.26
10358,-2,-0.12,-0.96,-0.26,-1.14,-9.43,-2.52,-79.97,2.28
10377,-1,-0.11,-0.95,-0.26,-1.06,-9.35,-2.54,-79.84,2.33
10395,0,-0.09,-0.93,-0.24,-0.92,-9.13,-2.38,-79.73,2.34
10414,2,-0.08,-0.93,-0.23,-0.82,-9.09,-2.30,-79.64,2.34
10432,3,-0.08,-0.92,-0.25,-0.81,-9.01,-2.47,-79.54,2.34
10449,3,-0.10,-0.94,-0.27,-0.95,-9.26,-2.63,-79.41,2.37
10468,0,-0.13,-0.93,-0.26,-1.27,-9.15,-2.56,-79.17,2.44
10486,-3,-0.14,-0.94,-0.23,-1.33,-9.24,-2.26,-79.01,2.50
10505,-3,-0.14,-0.94,-0.24,-1.36,-9.18,-2.32,-78.85,2.55
10523,-2,-0.12,-0.93,-0.24,-1.17,-9.11,-2.31,-78.73,2.59
10542,-3,-0.14,-0.93,-0.25,-1.37,-9.12,-2.40,-78.53,2.69
10560,-1,-0.13,-0.95,-0.25,-1.25,-9.28,-2.47,-78.38,2.77
10578,2,-0.12,-0.96,-0.25,-1.17,-9.38,-2.47,-78.24,2.80
10597,3,-0.13,-0.95,-0.26,-1.23,-9.31,-2.54,-78.05,2.85
10615,4,-0.13,-0.94,-0.24,-1.32,-9.25,-2.34,-77.87,2.93
10634,1,-0.13,-0.93,-0.24,-1.25,-9.13,-2.31,-77.70,2.99
10652,0,-0.13,-0.93,-0.22,-1.26,-9.07,-2.16,-77.60,3.07
10671,-2,-0.14,-0.93,-0.23,-1.33,-9.16,-2.23,-77.54,3.12
10689,-1,-0.14,-0.93,-0.23,-1.34,-9.14,-2.30,-77.47,3.16
10707,-2,-0.14,-0.95,-0.25,-1.35,-9.29,-2.48,-77.39,3.22
10726,-2,-0.12,-0.94,-0.26,-1.17,-9.23,-2.51,-77.28,3.27
10744,0,-0.13,-0.94,-0.25,-1.24,-9.20,-2.41,-77.15,3.34
10763,1,-0.12,-0.93,-0.24,-1.20,-9.11,-2.31,-77.05,3.38
10781,1,-0.11,-0.93,-0.24,-1.11,-9.08,-2.37,-76.96,3.40
10800,3,-0.11,-0.93,-0.25,-1.12,-9.12,-2.45,-76.85,3.40
10817,1,-0.11,-0.94,-0.25,-1.06,-9.22,-2.47,-76.76,3.44
10835,-1,-0.12,-0.94,-0.25,-1.16,-9.23,-2.42,-76.64,3.49
10854,-2,-0.13,-0.95,-0.24,-1.30,-9.28,-2.37,-76.51,3.54
10872,-1,-0.12,-0.93,-0.22,-1.21,-9.07,-2.16,-76.43,3.57
10891,-2,-0.13,-0.92,-0.24,-1.27,-9.06,-2.31,-76.36,3.58
10909,-1,-0.12,-0.93,-0.25,-1.22,-9.15,-2.47,-76.27,3.58
10928,0,-0.14,-0.94,-0.25,-1.35,-9.17,-2.44,-76.16,3.61
10946,1,-0.15,-0.93,-0.24,-1.48,-9.16,-2.36,-76.05,3.65
10964,3,-0.13,-0.95,-0.23,-1.32,-9.28,-2.21,-75.98,3.67
10983,1,-0.14,-0.94,-0.23,-1.40,-9.18,-2.25,-75.91,3.70
11001,1,-0.13,-0.93,-0.23,-1.30,-9.15,-2.26,-75.87,3.71
11020,1,-0.12,-0.94,-0.25,-1.19,-9.19,-2.50,-75.80,3.72
11038,-2,-0.12,-0.93,-0.26,-1.18,-9.15,-2.51,-75.71,3.74
11057,-2,-0.12,-0.93,-0.25,-1.17,-9.16,-2.43,-75.61,3.75
11075,-1,-0.11,-0.93,-0.25,-1.09,-9.16,-2.45,-75.51,3.74
11094,-1,-0.12,-0.93,-0.24,-1.21,-9.09,-2.37,-75.41,3.75
11112,1,-0.14,-0.93,-0.24,-1.41,-9.14,-2.33,-75.32,3.77
11130,3,-0.13,-0.94,-0.25,-1.28,-9.21,-2.41,-75.24,3.78
11149,2,-0.12,-0.94,-0.25,-1.20,-9.22,-2.44,-75.15,3.78
11167,0,-0.11,-0.94,-0.25,-1.10,-9.18,-2.47,-75.04,3.78
11185,0,-0.12,-0.93,-0.23,-1.21,-9.12,-2.29,-74.95,3.80
11203,-1,-0.12,-0.93,-0.23,-1.21,-9.12,-2.23,-74.89,3.82
11222,-1,-0.13,-0.94,-0.23,-1.31,-9.23,-2.22,-74.84,3.82
11240,-2,-0.13,-0.94,-0.23,-1.23,-9.17,-2.26,-74.79,3.85
11258,-2,-0.14,-0.94,-0.23,-1.40,-9.21,-2.27,-74.75,3.90
11277,0,-0.14,-0.94,-0.23,-1.34,-9.21,-2.27,-74.73,3.95
11295,0,-0.14,-0.94,-0.22,-1.34,-9.20,-2.18,-74.72,4.00
11314,1,-0.13,-0.94,-0.23,-1.28,-9.18,-2.24,-74.75,4.03
11332,3,-0.12,-0.93,-0.24,-1.22,-9.14,-2.39,-74.76,4.05
11351,2,-0.12,-0.94,-0.26,-1.19,-9.22,-2.55,-74.73,4.08
11369,0,-0.11,-0.93,-0.25,-1.10,-9.10,-2.43,-74.70,4.09
11387,-2,-0.12,-0.94,-0.25,-1.19,-9.17,-2.49,-74.66,4.12
11406,-2,-0.12,-0.93,-0.25,-1.16,-9.15,-2.44,-74.61,4.13
11424,-2,-0.11,-0.93,-0.24,-1.10,-9.10,-2.35,-74.59,4.15
11443,0,-0.12,-0.93,-0.25,-1.15,-9.13,-2.45,-74.55,4.17
11461,0,-0.12,-0.94,-0.26,-1.13,-9.18,-2.54,-74.51,4.20
11480,2,-0.12,-0.94,-0.26,-1.23,-9.19,-2.57,-74.43,4.22
11498,3,-0.13,-0.94,-0.26,-1.24,-9.26,-2.53,-74.34,4.26
11516,2,-0.13,-0.94,-0.24,-1.26,-9.16,-2.37,-74.25,4.31
11534,0,-0.12,-0.93,-0.24,-1.20,-9.15,-2.37,-74.18,4.35
11552,0,-0.14,-0.92,-0.23,-1.38,-9.06,-2.29,-74.12,4.40
11571,-1,-0.13,-0.93,-0.24,-1.29,-9.09,-2.39,-74.09,4.42
11589,-3,-0.12,-0.94,-0.26,-1.18,-9.18,-2.54,-74.04,4.43
11608,-3,-0.11,-0.94,-0.26,-1.09,-9.23,-2.51,-73.97,4.44
11626,-1,-0.14,-0.93,-0.24,-1.34,-9.12,-2.31,-73.92,4.49
11644,0,-0.14,-0.94,-0.24,-1.37,-9.19,-2.34,-73.88,4.54
11663,2,-0.14,-0.94,-0.25,-1.39,-9.24,-2.45,-73.82,4.59
11681,3,-0.13,-0.94,-0.24,-1.31,-9.17,-2.37,-73.79,4.62
11700,2,-0.12,-0.93,-0.24,-1.23,-9.08,-2.37,-73.75,4.64
11718,0,-0.11,-0.93,-0.26,-1.08,-9.15,-2.51,-73.71,4.63
11737,-1,-0.12,-0.93,-0.26,-1.13,-9.09,-2.53,-73.64,4.63
11755,-2,-0.12,-0.94,-0.25,-1.20,-9.19,-2.42,-73.56,4.64
11773,-1,-0.14,-0.93,-0.24,-1.35,-9.14,-2.38,-73.49,4.67
11792,0,-0.15,-0.94,-0.24,-1.48,-9.19,-2.34,-73.42,4.71
11810,-1,-0.13,-0.93,-0.24,-1.30,-9.15,-2.38,-73.37,4.74
11829,0,-0.12,-0.93,-0.24,-1.19,-9.12,-2.37,-73.34,4.76
11847,2,-0.12,-0.94,-0.25,-1.16,-9.17,-2.49,-73.30,4.77
